p_average
-0.174059
-0.0545934
-0.0547197
-0.0548418
-0.0559174
-0.0563428
-0.0571777
-0.0577593
-0.0572096
-0.0575384
-0.0590325
-0.0599433
-0.0603324
-0.0610516
-0.0619049
-0.0625999
-0.0634986
-0.0643286
-0.0645493
-0.0652277
-0.0667411
-0.0687526
-0.0697628
-0.0708059
-0.0719068
-0.0730354
-0.0741964
-0.0753481
-0.0766978
-0.07805
-0.0793181
-0.082097
-0.0835344
-0.0864604
-0.0879908
-0.0896204
-0.0912615
-0.0929008
-0.094557
-0.0962265
-0.0997594
-0.101642
-0.103465
-0.105331
-0.107262
-0.109258
-0.111335
-0.115425
-0.117473
-0.119662
-0.121893
-0.124141
-0.12655
-0.12875
-0.13094
-0.135701
-0.137969
-0.14039
-0.143106
-0.145798
-0.148086
-0.150498
-0.156268
-0.158897
-0.164862
-0.167498
-0.170112
-0.173515
-0.176174
-0.179033
-0.18287
-0.18537
-0.18861
-0.192259
-0.195008
-0.199035
-0.201849
-0.204278
-0.211808
-0.215156
-0.218802
-0.221807
-0.225537
-0.230496
-0.233189
-0.235429
-0.239801
-0.243696
-0.24773
-0.251187
-0.25453
-0.258649
-0.262371
-0.265602
-0.269641
-0.273668
-0.280968
-0.28393
-0.28779
-0.293416
-0.297755
-0.298757
-0.302498
-0.307893
-0.310103
-0.31341
-0.319391
-0.321516
-0.322936
-0.332143
-0.335509
-0.338474
-0.342136
-0.34527
-0.34905
-0.352982
-0.353687
-0.357008
-0.362245
-0.364477
-0.367002
-0.369769
-0.37234
-0.376849
-0.378362
-0.379369
-0.386305
-0.388579
-0.390481
-0.392885
-0.396728
-0.397408
-0.39841
-0.401148
-0.403857
-0.405369
-0.406361
-0.4091
-0.409999
-0.411647
-0.413842
-0.415156
-0.416356
-0.416763
-0.417382
-0.419173
-0.420636
-0.421458
-0.422571
-0.423986
-0.424767
-0.424781
-0.425416
-0.425186
-0.425079
-0.426319
-0.426748
-0.427603
-0.427908
-0.426141
-0.424975
-0.425461
-0.425391
-0.424094
-0.423047
-0.421926
-0.421306
-0.420898
-0.419961
-0.419571
-0.421566
-0.429959
-0.407943
-0.0834247
-0.0704699
-0.0662519
-0.0650851
-0.0627282
-0.0615422
-0.06145
-0.0607541
-0.0602531
-0.0583013
-0.0578377
-0.0568932
-0.0563248
-0.0563371
-0.0560524
-0.0558615
-0.0558425
-0.0538252
-0.0549818
-0.0531266
-0.0527662
-0.053545
-0.0533046
-0.0527721
-0.0525347
-0.052816
-0.0531782
-0.0529531
-0.0530934
-0.0536504
-0.0536803
-0.053433
-0.053733
-0.0539933
