p
-0.197282
-0.0676547
-0.0678245
-0.0679276
-0.0685193
-0.0677122
-0.0686771
-0.0693412
-0.0696664
-0.0699303
-0.0703092
-0.071079
-0.0715617
-0.0721764
-0.0727916
-0.0732696
-0.0736362
-0.0745579
-0.0758541
-0.0765428
-0.0770889
-0.0789039
-0.0794933
-0.0802445
-0.0816621
-0.0825773
-0.0841492
-0.0860006
-0.0869697
-0.0879278
-0.0898484
-0.0908507
-0.092978
-0.0941188
-0.0962917
-0.0975842
-0.0989693
-0.10145
-0.102759
-0.105577
-0.108526
-0.110086
-0.111655
-0.114794
-0.116405
-0.118053
-0.119706
-0.121439
-0.124816
-0.126581
-0.130125
-0.132018
-0.135895
-0.137999
-0.140005
-0.143998
-0.145992
-0.14776
-0.149831
-0.154354
-0.156558
-0.161108
-0.163404
-0.165792
-0.169757
-0.172485
-0.177083
-0.179789
-0.182239
-0.186942
-0.189308
-0.191698
-0.194035
-0.198927
-0.200707
-0.206736
-0.208333
-0.214236
-0.216435
-0.221609
-0.224095
-0.229007
-0.23218
-0.236926
-0.239616
-0.24232
-0.247057
-0.249119
-0.254272
-0.256829
-0.259659
-0.264596
-0.269291
-0.272425
-0.274206
-0.279431
-0.282651
-0.283674
-0.284897
-0.291093
-0.291659
-0.295997
-0.300456
-0.302819
-0.306795
-0.308061
-0.312316
-0.314047
-0.31746
-0.323068
-0.326694
-0.32729
-0.330311
-0.335712
-0.335253
-0.342482
-0.344395
-0.3464
-0.349401
-0.350434
-0.355794
-0.357513
-0.360283
-0.362379
-0.363888
-0.369599
-0.368819
-0.369345
-0.375864
-0.377083
-0.377731
-0.382114
-0.381801
-0.383493
-0.386111
-0.387811
-0.388838
-0.390979
-0.391576
-0.392438
-0.396802
-0.397394
-0.397294
-0.399967
-0.400869
-0.403147
-0.403948
-0.404424
-0.406269
-0.407941
-0.407932
-0.409715
-0.409896
-0.410455
-0.411049
-0.411439
-0.411645
-0.411813
-0.411892
-0.411916
-0.411992
-0.411722
-0.411861
-0.411779
-0.410544
-0.410807
-0.410424
-0.410231
-0.409681
-0.409079
-0.408597
-0.408336
-0.407983
-0.407809
-0.407772
-0.408661
-0.409686
-0.411178
-0.412884
-0.406339
-0.0943369
-0.0885042
-0.0860057
-0.0844318
-0.0829775
-0.0813121
-0.0805219
-0.0797659
-0.0790889
-0.0781367
-0.0785258
-0.0764649
-0.0766211
-0.0748762
-0.0740518
-0.0751814
-0.0735243
-0.0726371
-0.0725391
-0.0721855
-0.072048
-0.071457
-0.0706865
-0.0704853
-0.070251
-0.0701256
-0.0692396
-0.0695529
-0.0691287
-0.0681043
-0.0686709
-0.0680006
-0.0679261
-0.0682852
-0.0670653
-0.0666286
-0.0674502
-0.0671052
-0.0668372
-0.0670976
-0.0672852
-0.0667723
-0.067049
-0.0669582
-0.067085
-0.0671584
-0.0664013
-0.0663868
-0.0670908
